date,home_team,away_team,home_score,away_score,home_elo_before,away_elo_before,home_elo_after,away_elo_after,k_factor
2018-03-23,Norway,Australia,4.0,1.0,1500.0,1500.0,1502.5,1497.5,5.0
2018-03-23,Peru,Croatia,2.0,0.0,1500.0,1500.0,1502.5,1497.5,5.0
2018-03-23,Poland,Nigeria,0.0,1.0,1500.0,1500.0,1497.5,1502.5,5.0
2018-03-23,Portugal,Egypt,2.0,1.0,1500.0,1500.0,1502.5,1497.5,5.0
2018-03-23,Russia,Brazil,0.0,3.0,1500.0,1500.0,1497.5,1502.5,5.0
2018-03-23,Senegal,Uzbekistan,1.0,1.0,1500.0,1500.0,1500.0,1500.0,5.0
2018-03-23,Mexico,Iceland,3.0,0.0,1502.5,1504.9640245914547,1505.0177297849154,1502.4462948065393,5.0
2018-03-23,Singapore,Maldives,3.0,2.0,1500.0,1500.0,1502.5,1497.5,5.0
2018-03-23,Turkey,Republic of Ireland,1.0,0.0,1500.0,1500.0,1502.5,1497.5,5.0
2018-03-23,Ukraine,Saudi Arabia,1.0,1.0,1500.0,1499.964280661522,1499.9997429787,1499.964537682822,5.0
2018-03-23,Uruguay,Czech Republic,2.0,0.0,1500.0,1500.0,1502.5,1497.5,5.0
2018-03-23,Netherlands,England,0.0,1.0,1500.0,1500.0,1497.5,1502.5,5.0
2018-03-23,Tunisia,Iran,1.0,0.0,1500.0,1502.5,1502.5179886355781,1499.9820113644219,5.0
2018-03-24,Northern Ireland,South Korea,2.0,1.0,1500.0,1504.964152160828,1502.53571751564,1502.428434645188,5.0
2018-03-24,Kosovo,Madagascar,1.0,0.0,1500.0,1500.0,1502.5,1497.5,5.0
2018-03-24,Angola,Zimbabwe,2.0,2.0,1500.0,1500.0,1500.0,1500.0,5.0
2018-03-24,Armenia,Estonia,0.0,0.0,1500.0,1500.0,1500.0,1500.0,5.0
2018-03-24,Botswana,Lesotho,1.0,0.0,1500.0,1500.0,1502.5,1497.5,5.0
2018-03-24,Comoros,Kenya,2.0,2.0,1500.0,1500.0,1500.0,1500.0,5.0
2018-03-24,Georgia,Lithuania,4.0,0.0,1500.0,1500.0,1502.5,1497.5,5.0
2018-03-24,Israel,Romania,1.0,2.0,1500.0,1500.0,1497.5,1502.5,5.0
2018-03-24,Canada,New Zealand,1.0,0.0,1500.0,1500.0,1502.5,1497.5,5.0
2018-03-24,Uganda,São Tomé and Príncipe,3.0,1.0,1500.0,1500.0,1502.5,1497.5,5.0
2018-03-24,Qatar,Syria,2.0,2.0,1502.5181171428778,1500.0,1502.499998150776,1500.0181189921018,5.0
2018-03-24,Sweden,Chile,1.0,2.0,1502.5,1500.0,1499.9820113644219,1502.5179886355781,5.0
